TABLE,FIELD,TYPE,NULL,KEY,DEFAULT,EXTRA
APT_ARS,EFF_DATE,varchar(10),NO,,,
APT_ARS,SITE_NO,varchar(9),NO,,,
APT_ARS,SITE_TYPE_CODE,varchar(1),NO,,,
APT_ARS,STATE_CODE,varchar(2),YES,,,
APT_ARS,ARPT_ID,varchar(4),NO,,,
APT_ARS,CITY,varchar(40),NO,,,
APT_ARS,COUNTRY_CODE,varchar(2),NO,,,
APT_ARS,RWY_ID,varchar(7),NO,,,
APT_ARS,RWY_END_ID,varchar(3),NO,,,
APT_ARS,ARREST_DEVICE_CODE,varchar(9),NO,,,
APT_ATT,EFF_DATE,varchar(10),NO,,,
APT_ATT,SITE_NO,varchar(9),NO,,,
APT_ATT,SITE_TYPE_CODE,varchar(1),NO,,,
APT_ATT,STATE_CODE,varchar(2),YES,,,
APT_ATT,ARPT_ID,varchar(4),NO,,,
APT_ATT,CITY,varchar(40),NO,,,
APT_ATT,COUNTRY_CODE,varchar(2),NO,,,
APT_ATT,SKED_SEQ_NO,int(2),NO,,,
APT_ATT,MONTH,varchar(50),YES,,,
APT_ATT,DAY,varchar(16),YES,,,
APT_ATT,HOUR,varchar(40),YES,,,
APT_BASE,EFF_DATE,varchar(10),NO,,,
APT_BASE,SITE_NO,varchar(9),NO,,,
APT_BASE,SITE_TYPE_CODE,varchar(1),NO,,,
APT_BASE,STATE_CODE,varchar(2),YES,,,
APT_BASE,ARPT_ID,varchar(4),NO,,,
APT_BASE,CITY,varchar(40),NO,,,
APT_BASE,COUNTRY_CODE,varchar(2),NO,,,
APT_BASE,REGION_CODE,varchar(3),YES,,,
APT_BASE,ADO_CODE,varchar(3),YES,,,
APT_BASE,STATE_NAME,varchar(30),YES,,,
APT_BASE,COUNTY_NAME,varchar(21),NO,,,
APT_BASE,COUNTY_ASSOC_STATE,varchar(2),NO,,,
APT_BASE,ARPT_NAME,varchar(50),NO,,,
APT_BASE,OWNERSHIP_TYPE_CODE,varchar(2),NO,,,
APT_BASE,FACILITY_USE_CODE,varchar(2),NO,,,
APT_BASE,LAT_DEG,int(2),NO,,,
APT_BASE,LAT_MIN,int(2),NO,,,
APT_BASE,LAT_SEC,decimal(6,4),NO,,,
APT_BASE,LAT_HEMIS,varchar(1),NO,,,
APT_BASE,LAT_DECIMAL,decimal(10,8),NO,,,
APT_BASE,LONG_DEG,int(3),NO,,,
APT_BASE,LONG_MIN,int(2),NO,,,
APT_BASE,LONG_SEC,decimal(6,4),NO,,,
APT_BASE,LONG_HEMIS,varchar(1),NO,,,
APT_BASE,LONG_DECIMAL,decimal(11,8),NO,,,
APT_BASE,SURVEY_METHOD_CODE,varchar(1),YES,,,
APT_BASE,ELEV,decimal(6,1),NO,,,
APT_BASE,ELEV_METHOD_CODE,varchar(1),YES,,,
APT_BASE,MAG_VARN,int(2),YES,,,
APT_BASE,MAG_HEMIS,varchar(1),YES,,,
APT_BASE,MAG_VARN_YEAR,int(4),YES,,,
APT_BASE,TPA,int(4),YES,,,
APT_BASE,CHART_NAME,varchar(30),YES,,,
APT_BASE,DIST_CITY_TO_AIRPORT,int(2),YES,,,
APT_BASE,DIRECTION_CODE,varchar(3),YES,,,
APT_BASE,ACREAGE,int(5),YES,,,
APT_BASE,RESP_ARTCC_ID,varchar(4),NO,,,
APT_BASE,COMPUTER_ID,varchar(3),NO,,,
APT_BASE,ARTCC_NAME,varchar(30),NO,,,
APT_BASE,FSS_ON_ARPT_FLAG,varchar(1),YES,,,
APT_BASE,FSS_ID,varchar(4),NO,,,
APT_BASE,FSS_NAME,varchar(30),NO,,,
APT_BASE,PHONE_NO,varchar(16),YES,,,
APT_BASE,TOLL_FREE_NO,varchar(16),YES,,,
APT_BASE,ALT_FSS_ID,varchar(4),YES,,,
APT_BASE,ALT_FSS_NAME,varchar(30),YES,,,
APT_BASE,ALT_TOLL_FREE_NO,varchar(16),YES,,,
APT_BASE,NOTAM_ID,varchar(4),YES,,,
APT_BASE,NOTAM_FLAG,varchar(1),YES,,,
APT_BASE,ACTIVATION_DATE,varchar(7),YES,,,
APT_BASE,ARPT_STATUS,varchar(2),NO,,,
